Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1961","1961","tonnes","109659976","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1962","1962","tonnes","120421293","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1963","1963","tonnes","137456233","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1964","1964","tonnes","152356625","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1965","1965","tonnes","162156281","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1966","1966","tonnes","177613486","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1967","1967","tonnes","181182167","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1968","1968","tonnes","177133015","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1969","1969","tonnes","176486754","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1970","1970","tonnes","200836854","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1971","1971","tonnes","212142760","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1972","1972","tonnes","206516977","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1973","1973","tonnes","221853449","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1974","1974","tonnes","234636870","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1975","1975","tonnes","244525529","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1976","1976","tonnes","250213735","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1977","1977","tonnes","243286035","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1978","1978","tonnes","273038118","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1979","1979","tonnes","292727509","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1980","1980","tonnes","280287437","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1981","1981","tonnes","286450038","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1982","1982","tonnes","315364050","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1983","1983","tonnes","345626506","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1984","1984","tonnes","365937335","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1985","1985","tonnes","339877377","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1986","1986","tonnes","352084647","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1987","1987","tonnes","359240676","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1988","1988","tonnes","351824290","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1989","1989","tonnes","367636080","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1990","1990","tonnes","404719096","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1991","1991","tonnes","398896071","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1992","1992","tonnes","404275226","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1993","1993","tonnes","407930462","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1994","1994","tonnes","396460120","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1995","1995","tonnes","418664201","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1996","1996","tonnes","453439300","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1997","1997","tonnes","445931409","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1998","1998","tonnes","458394739","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","1999","1999","tonnes","455192431","E","Estimated value"
"QCL","Crops and livestock products","159","China","5510","Production","F1717","Cereals, Total","2000","2000","tonnes","407336509","E","Estimated value"
