Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1961","1961","tonnes","87376496","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1962","1962","tonnes","87257552","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1963","1963","tonnes","90373008","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1964","1964","tonnes","93706000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1965","1965","tonnes","79699504","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1966","1966","tonnes","80137608","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1967","1967","tonnes","95453504","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1968","1968","tonnes","102443708","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1969","1969","tonnes","106291244","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1970","1970","tonnes","113909504","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1971","1971","tonnes","113238296","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1972","1972","tonnes","108615456","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1973","1973","tonnes","119648216","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1974","1974","tonnes","106793000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1975","1975","tonnes","127807800","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1976","1976","tonnes","121625108","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1977","1977","tonnes","138062904","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1978","1978","tonnes","142964696","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1979","1979","tonnes","126470304","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1980","1980","tonnes","140490600","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1981","1981","tonnes","147583816","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1982","1982","tonnes","136101404","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1983","1983","tonnes","166781704","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1984","1984","tonnes","164477600","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1985","1985","tonnes","165682196","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1986","1986","tonnes","164955216","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1987","1987","tonnes","156114500","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1988","1988","tonnes","183867008","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1989","1989","tonnes","199413216","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1990","1990","tonnes","193919312","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1991","1991","tonnes","193101196","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1992","1992","tonnes","201468404","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1993","1993","tonnes","208626900","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","1994","1994","tonnes","211941400","E","Estimated value"
