id,year,net_prod_chn,net_prod_ind,arable_land_chn,arable_land_ind,fertilizer_consumption_chn,fertilizer_consumption_ind,total_pop_chn,total_pop_ind,temp_india,temp_chn,gdp_chn,gdp_ind
1,1961,286218148,249336377,10.97085318,52.40364726,193.6170213,153.9834046,667070000,450547675,-0.411666667,0.243166667,89.52054151,82.18860274
2,1962,299558412,242330972,10.93934024,52.7043344,175.1504425,160.0741963,660330000,459642166,-0.391916667,-0.078666667,75.80583793,85.35430099
3,1963,303902288,234973047,10.91843772,52.9633155,160.2827763,166.3954086,665770000,469077191,-0.037083333,0.256916667,70.90941167,89.88175649
4,1964,316448841,250654008,10.8974291,53.05143634,141.3996627,206.6109077,682335000,478825602,-0.07025,-0.050916667,74.31364345,101.1264294
5,1965,352778939,259326612,10.87122137,53.21422445,136.4064955,219.9675347,698355000,488848139,0.00425,-0.006416667,85.49855516,115.5374961
6,1966,377437388,261780526,10.82273176,53.34001527,142.7091328,242.0497031,715185000,499123328,0.309,0.157083333,98.48677775,119.3189163
7,1967,381163868,245909144,10.77105903,53.74025878,146.4964693,252.4192226,735400000,509631509,-0.106416667,-0.399083333,104.3245662,89.99730437
8,1968,377180236,261962750,10.71938629,53.83746077,200.5952381,226.835867,754550000,520400577,-0.208083333,-0.103333333,96.58953194,96.33913646
9,1969,386768431,295507078,10.67004785,53.80618124,174.7484909,207.6915016,774510000,531513834,0.434333333,-0.344916667,91.47271831,99.87596272
10,1970,416959796,315406803,10.61752629,54.00260326,167.2485769,212.7663587,796025000,543084333,-0.03975,-0.256083333,100.1299033,107.6223184
11,1971,426919080,308271725,10.57158318,53.73218664,141.8577198,214.3444937,818315000,555189797,-0.53625,0.026666667,113.1629916,112.4344925
12,1972,416850511,291863927,10.52235084,53.87681245,132.6390293,199.8772386,841105000,567868021,0.105,-0.005083333,118.6545778,118.6032415
13,1973,475284675,315198104,10.47216357,54.16539138,132.5612014,206.5264843,862030000,581087255,0.2085,0.39425,131.8835612,122.9818641
14,1974,471713303,319075970,10.53168801,54.31909834,124.6523586,169.5414416,881940000,594770136,-0.0265,-0.157083333,157.0903743,143.7786876
15,1975,483769944,346929650,10.37551368,54.43244461,123.075265,191.1582864,900350000,608802595,-0.30975,0.279333333,160.1400937,163.4781125
16,1976,481066407,342953219,10.35602585,54.50610287,115.9263272,145.6002045,916395000,623102900,0.05475,-0.340916667,178.3418196,158.036171
17,1977,494809918,371015080,10.3364429,54.50677555,120.9228121,160.3149724,930685000,637630085,0.118666667,0.047166667,165.4055404,161.0920922
18,1978,542239347,401992867,10.3155757,54.90365567,120.2435649,173.0522766,943455000,652408766,-0.192083333,0.247833333,185.4228329,186.2135042
19,1979,549538981,364130617,10.30088024,54.97260518,119.1258025,175.4767214,956165000,667499815,0.347583333,0.273166667,156.3963885,205.6933833
20,1980,541208408,352212871,10.2867153,54.77416512,121.0048292,183.0532028,969005000,682995348,0.41125,0.130916667,183.9831522,224.0010188
21,1981,549008886,390104325,10.35037794,54.79367279,118.6384278,148.0293889,981235000,698952837,0.005416667,0.103916667,194.8047222,266.5778508
22,1982,595525134,413010311,10.87040713,54.90601004,122.6189319,132.3514811,993885000,715384997,-0.006,0.320333333,197.0714745,270.4706009
23,1983,643028914,450522628,11.4646985,54.73313175,129.6256618,145.0326086,1008630000,732239498,-0.250583333,0.10025,203.3349195,274.1113337
24,1984,677736288,439732790,12.17485599,55.03112818,131.860216,152.2496671,1023310000,749428958,-0.02575,-0.330916667,225.4319289,291.2381101
25,1985,660714139,437883026,12.82113857,55.00489373,125.165702,150.1416794,1036825000,766833411,0.274583333,-0.091416667,250.713969,276.6679583
26,1986,685629464,440837255,12.8619888,54.96083331,121.1980438,135.5644178,1051040000,784360012,0.112916667,0.0225,294.4588485,296.43515
27,1987,712994523,448457794,12.82941472,54.89222014,132.9475541,116.2623306,1066790000,801975250,0.542166667,0.399416667,281.9281209,310.4659328
28,1988,715572645,486590893,12.90145968,54.77887387,142.4683943,119.2327591,1084035000,819682095,0.49025,0.389333333,251.811957,340.4168345
